player_name,team,country,maps_played,rounds_played,total_kills,total_deaths,total_assists,headshot_percentage,kills_per_round,deaths_per_round,assists_per_round,damage_per_round,rating,opening_kills,opening_deaths,clutch_wins,kdr,impact_score,survival_rate,assist_contribution,opening_duel_win_rate,consistency_score,performance_index,performance_encoded,performance_category
propser,FaZe,Sweden,204,4488,2434.0,3331,296,41.5,0.54,0.74,0.07,76.1,0.91,23,14,11,0.7307,0.3765,0.2578,0.1148,0.6216,0.6746,0.267,0,Low
Stlex0,Vitality,Bosnia,245,5145,3732.0,2864,648,60.9,0.73,0.56,0.13,87.1,1.2,37,16,28,1.3031,0.4921,0.4433,0.1512,0.6981,0.3431,0.7139,2,High
flikox,Outsiders,Estonia,215,5375,2743.0,4047,691,36.3,0.51,0.75,0.13,60.4,0.89,32,28,10,0.6778,0.343,0.2471,0.2031,0.5333,0.6094,0.1944,0,Low
briskzy,Eternal Fire,Bosnia,367,10276,6712.0,6956,1334,46.6,0.65,0.68,0.13,75.9,1.05,26,26,22,0.9649,0.4055,0.3231,0.1667,0.5,0.8123,0.4329,1,Medium
drrixa,OG,Ukraine,255,6375,4232.0,4065,952,44.8,0.66,0.64,0.15,77.7,0.99,25,23,14,1.0411,0.4221,0.3624,0.1852,0.5208,0.961,0.4157,1,Medium
trven4k,Astralis,Ukraine,372,8556,4846.0,5514,1545,50.9,0.57,0.64,0.18,67.2,0.97,18,52,6,0.8789,0.3559,0.3555,0.24,0.2571,0.8852,0.3613,1,Medium
starker,paiN,Mongolia,313,7825,6569.0,4312,561,64.6,0.84,0.55,0.07,85.8,1.28,46,14,32,1.5234,0.5207,0.4489,0.0769,0.7667,0.1379,0.8368,2,High
Clostz,BIG,Ukraine,278,7506,4568.0,5311,1367,37.4,0.61,0.71,0.18,59.0,0.89,23,40,11,0.8601,0.3566,0.2924,0.2278,0.3651,0.6094,0.242,0,Low
zlex9,Liquid,Netherlands,281,6463,3727.0,4621,719,39.2,0.58,0.72,0.11,78.7,0.94,30,41,4,0.8065,0.3882,0.285,0.1594,0.4225,0.7769,0.2927,0,Low
Swazeer,MIBR,Turkey,329,6580,4785.0,4314,1071,37.2,0.73,0.66,0.16,79.7,1.07,26,25,17,1.1092,0.4399,0.3444,0.1798,0.5098,0.7422,0.4433,1,Medium
Drace,Complexity,Russia,284,7668,5409.0,4363,696,58.5,0.71,0.57,0.09,86.3,1.34,45,27,30,1.2397,0.4841,0.431,0.1125,0.625,0.0,0.7607,2,High
kantzy,ENCE,Finland,175,4025,2485.0,2535,600,54.7,0.62,0.63,0.15,75.6,0.99,8,16,13,0.9803,0.3968,0.3702,0.1948,0.3333,0.961,0.4401,1,Medium
skent9,Spirit,Poland,173,3979,2147.0,2734,421,38.8,0.54,0.69,0.11,60.1,0.89,18,34,7,0.7853,0.3453,0.3129,0.1692,0.3462,0.6094,0.2283,0,Low
grellix,Spirit,France,80,2000,1266.0,1511,194,38.8,0.63,0.76,0.1,56.8,0.79,9,12,2,0.8379,0.3585,0.2445,0.137,0.4286,0.316,0.1924,0,Low
Grong5s,Outsiders,Latvia,288,6336,4819.0,3062,354,48.5,0.76,0.49000000000000005,0.06,86.1,1.17,29,26,32,1.5738,0.493,0.5167,0.0732,0.5273,0.4274,0.6785,2,High
Frumeix,FURIA,Germany,212,5088,3207.0,3217,650,40.8,0.63,0.63,0.13,71.6,1.02,10,17,16,0.9969,0.3923,0.3677,0.1711,0.3704,0.9227,0.3812,1,Medium
Swazeus,paiN,Germany,79,1896,1042.0,1243,226,42.5,0.55,0.66,0.12,72.8,0.84,7,11,1,0.8383,0.3687,0.3444,0.1791,0.3889,0.4564,0.2471,0,Low
Drell0,G2,United States,324,6480,3824.0,3974,451,49.8,0.59,0.61,0.07,75.5,0.98,35,23,18,0.9623,0.4023,0.3867,0.1061,0.6034,0.9227,0.4091,1,Medium
nuno1,Cloud9,Russia,180,4140,2786.0,2630,528,31.8,0.67,0.64,0.13,63.9,0.88,30,17,8,1.0593,0.4131,0.3647,0.1625,0.6383,0.5777,0.2821,0,Low
zioner,FURIA,Australia,247,5681,4102.0,3761,930,43.6,0.72,0.66,0.16,76.6,1.04,18,21,7,1.0907,0.4257,0.338,0.1818,0.4615,0.8484,0.4479,2,High
shunox,GamerLegion,Poland,89,2403,1613.0,1627,372,45.1,0.67,0.68,0.16,70.6,1.05,8,7,7,0.9914,0.4085,0.3229,0.1928,0.5333,0.8123,0.4316,1,Medium
Dvenzy,Outsiders,Estonia,248,6200,4492.0,3431,522,56.7,0.72,0.55,0.08,85.4,1.28,35,22,22,1.3092,0.4804,0.4466,0.1,0.614,0.1379,0.7276,2,High
nops3r,Navi,Estonia,363,9075,5334.0,6043,1339,36.6,0.59,0.67,0.15,65.2,1.01,33,24,21,0.8827,0.3718,0.3341,0.2027,0.5789,0.961,0.3183,1,Medium
flameZ,Apeks,Czech Republic,483,9660,8809.0,4933,1079,63.9,0.905,0.51,0.11,74.3,1.19,47,38,42,1.7857,0.5065,0.4893,0.1084,0.5529,0.3707,0.8191,2,High
Zoltzy,Liquid,Bosnia,135,3510,2613.0,2234,725,39.1,0.74,0.64,0.21,71.0,1.0,4,9,7,1.1697,0.4152,0.3635,0.2211,0.3077,1.0,0.4078,1,Medium
Snostie,Complexity,Kazakhstan,117,2925,2048.0,1933,653,56.4,0.7,0.66,0.22,72.2,1.11,13,10,4,1.0595,0.4213,0.3391,0.2391,0.5652,0.6094,0.5465,2,High
Flanty,Cloud9,United States,376,8272,4521.0,5646,1105,42.5,0.55,0.68,0.13,64.4,0.78,62,57,23,0.8007,0.3762,0.3175,0.1912,0.521,0.2893,0.2132,0,Low
snacea,Outsiders,Australia,345,8970,6556.0,5474,954,48.9,0.73,0.61,0.11,91.9,1.34,60,30,27,1.1977,0.497,0.3897,0.131,0.6667,0.0,0.711,2,High
Grenty,FURIA,Norway,373,8952,6057.0,5343,1440,43.7,0.68,0.6,0.16,71.0,1.0,30,32,20,1.1336,0.4142,0.4032,0.1905,0.4839,1.0,0.4256,1,Medium
snella,Navi,Finland,278,5838,5065.0,3356,631,50.3,0.87,0.57,0.11,86.9,1.25,41,19,22,1.5092,0.5265,0.4251,0.1122,0.6833,0.2118,0.7451,2,High
Nionoo,GamerLegion,Belgium,110,2640,1691.0,2089,332,46.4,0.64,0.79,0.13,73.4,0.83,14,13,4,0.8095,0.3971,0.2087,0.1688,0.5185,0.4274,0.2784,0,Low
Triskus,Vitality,Mongolia,217,4774,2755.0,3301,602,41.9,0.58,0.69,0.13,63.6,0.81,10,25,13,0.8346,0.3527,0.3085,0.1831,0.2857,0.3707,0.2152,0,Low
snaze4k,Imperial,Turkey,248,5704,5064.0,3439,745,46.4,0.89,0.6,0.13,86.6,1.22,35,12,37,1.4725,0.5379,0.3971,0.1275,0.7447,0.2893,0.7095,2,High
prink,MOUZ,Ukraine,111,2664,1682.0,1851,359,47.3,0.63,0.7,0.13,65.1,0.93,15,15,0,0.9087,0.383,0.3052,0.1711,0.5,0.7422,0.3449,1,Medium
nella,G2,Bosnia,299,7475,5112.0,5900,949,32.9,0.68,0.79,0.13,63.7,0.9,47,31,11,0.8664,0.3972,0.2107,0.1605,0.6026,0.6417,0.2538,0,Low
Skiko5s,paiN,Estonia,163,4564,2602.0,3027,628,35.4,0.57,0.66,0.14,67.4,0.98,25,16,6,0.8596,0.3837,0.3368,0.1972,0.6098,0.9227,0.3001,1,Medium
diska,TYLOO,Turkey,331,7944,5353.0,4865,1022,47.3,0.67,0.61,0.13,73.8,0.99,30,29,22,1.1003,0.4202,0.3876,0.1625,0.5085,0.961,0.4381,1,Medium
Xeltus,Fnatic,Australia,214,5136,2706.0,3409,685,45.3,0.53,0.66,0.13,59.9,0.82,14,32,0,0.7938,0.3292,0.3363,0.197,0.3043,0.3988,0.2148,0,Low
Krixus,OG,Ukraine,370,7770,4353.0,5847,822,45.6,0.56,0.75,0.11,67.4,0.82,18,54,18,0.7445,0.3473,0.2475,0.1642,0.25,0.3988,0.221,0,Low
flent1,MOUZ,Germany,288,7488,4568.0,4928,1397,37.5,0.61,0.66,0.19,64.8,0.93,33,38,6,0.9269,0.3784,0.3419,0.2375,0.4648,0.7422,0.2919,0,Low
boltz,Apeks,Latvia,268,6700,4321.0,5083,552,53.4,0.65,0.76,0.08,66.4,0.92,30,32,11,0.8501,0.3859,0.2413,0.1096,0.4839,0.7081,0.3642,1,Medium
sheltus,SAW,Czech Republic,132,3036,1956.0,1961,454,48.1,0.64,0.65,0.15,62.0,1.03,15,8,10,0.9975,0.3908,0.3541,0.1899,0.6522,0.8852,0.425,1,Medium
bryreoo,GamerLegion,Poland,224,5824,3729.0,3678,691,49.3,0.64,0.63,0.12,71.6,1.0,7,23,12,1.0139,0.388,0.3685,0.1579,0.2333,1.0,0.4159,1,Medium
dume3r,paiN,Mongolia,260,7540,4553.0,5931,1059,39.3,0.6,0.79,0.14,58.3,0.86,23,40,14,0.7677,0.3478,0.2134,0.1892,0.3651,0.516,0.2133,0,Low
Gluno4k,OG,Denmark,224,5376,2935.0,3865,572,41.3,0.55,0.72,0.11,63.1,0.87,16,33,3,0.7594,0.3391,0.2811,0.1667,0.3265,0.5466,0.2218,0,Low
Kyre4k,BIG,Mongolia,412,11536,7475.0,6525,1803,50.5,0.65,0.57,0.16,82.5,1.05,24,39,33,1.1456,0.4296,0.4344,0.1975,0.381,0.8123,0.5029,2,High
xionoo,paiN,Latvia,410,10660,7766.0,7350,1537,35.9,0.73,0.69,0.14,63.7,0.97,38,44,33,1.0566,0.4126,0.3105,0.1609,0.4634,0.8852,0.3526,1,Medium
Skant9,Spirit,Brazil,332,7636,3763.0,5173,572,51.5,0.49,0.68,0.07,62.6,0.94,33,43,23,0.7274,0.3394,0.3226,0.125,0.4342,0.7769,0.3097,1,Medium
Skarny,Fnatic,Argentina,356,9612,7167.0,5882,1369,44.0,0.75,0.61,0.14,73.0,1.03,32,28,18,1.2185,0.4401,0.3881,0.1573,0.5333,0.8852,0.4773,2,High
Gllex0,Navi,Argentina,196,5880,3739.0,4115,688,53.2,0.64,0.7,0.12,83.9,0.79,39,24,14,0.9086,0.4503,0.3002,0.1579,0.619,0.316,0.3491,1,Medium
shox,TYLOO,Ukraine,327,8502,5245.0,5820,995,36.9,0.62,0.68,0.12,74.3,0.93,21,51,13,0.9012,0.3886,0.3155,0.1622,0.2917,0.7422,0.2916,0,Low
frisk4k,MOUZ,China,174,4872,2711.0,3520,431,43.1,0.56,0.72,0.09,64.1,0.95,29,22,4,0.7702,0.3693,0.2775,0.1385,0.5686,0.8123,0.2991,1,Medium
Shink5s,Liquid,United States,283,7075,4543.0,4397,1384,49.5,0.64,0.62,0.2,68.1,0.94,24,21,15,1.0332,0.3954,0.3785,0.2381,0.5333,0.7769,0.3929,1,Medium
nikous,TheMongolz,China,350,9100,5602.0,6417,1656,50.2,0.62,0.71,0.18,62.7,0.88,31,35,12,0.873,0.3677,0.2948,0.225,0.4697,0.5777,0.3158,1,Medium
Groltie,Lynn Vision,Sweden,424,11872,8873.0,7543,1729,32.0,0.75,0.64,0.15,79.4,0.98,26,40,26,1.1763,0.4443,0.3646,0.1667,0.3939,0.9227,0.381,1,Medium
xumezy,FURIA,Kazakhstan,109,3052,1936.0,1989,341,35.3,0.63,0.65,0.11,69.5,1.05,6,10,6,0.9734,0.385,0.3483,0.1486,0.375,0.8123,0.3586,1,Medium
stant3r,Apeks,Finland,101,2323,1319.0,1746,348,42.0,0.57,0.75,0.15,63.3,0.9,10,6,5,0.7554,0.3548,0.2484,0.2083,0.625,0.6417,0.2527,0,Low
Stazex,MOUZ,France,233,6058,3953.0,4537,858,46.4,0.65,0.75,0.14,69.5,0.87,30,37,7,0.8713,0.3957,0.2511,0.1772,0.4478,0.5466,0.31,1,Medium
flinko,Outsiders,Belgium,168,3864,3159.0,1901,176,55.8,0.82,0.49000000000000005,0.05,83.8,1.28,31,19,20,1.6618,0.5286,0.508,0.0575,0.62,0.1379,0.8192,2,High
Glulf,NIP,Germany,324,8424,5449.0,5456,1177,49.2,0.65,0.65,0.14,68.5,1.0,34,32,16,0.9987,0.4006,0.3523,0.1772,0.5152,1.0,0.4219,1,Medium
stazeie,Fnatic,Australia,298,6556,4140.0,4319,768,43.7,0.63,0.66,0.12,73.5,1.12,27,31,9,0.9586,0.3972,0.3412,0.16,0.4655,0.5777,0.4484,2,High
swvenus,FURIA,Netherlands,156,3588,2947.0,1764,309,58.3,0.82,0.49000000000000005,0.09,81.1,1.22,26,11,25,1.6706,0.5249,0.5084,0.0989,0.7027,0.2893,0.7987,2,High
Prushz,Cloud9,France,128,3072,2132.0,1988,525,45.9,0.69,0.65,0.17,72.6,0.97,13,8,7,1.0724,0.4208,0.3529,0.1977,0.619,0.8852,0.4152,1,Medium
Drodo9,BIG,Latvia,181,3982,2388.0,2621,660,60.5,0.6,0.66,0.17,75.3,0.98,15,14,12,0.9111,0.3953,0.3418,0.2208,0.5172,0.9227,0.4528,2,High
Blush5s,Navi,Sweden,155,3875,2357.0,2341,732,50.4,0.61,0.6,0.19,77.0,1.04,15,11,5,1.0068,0.406,0.3959,0.2375,0.5769,0.8484,0.4556,2,High
Nyreoo,Spirit,Latvia,335,7035,4366.0,4465,959,42.2,0.62,0.63,0.14,59.8,1.04,31,30,15,0.9778,0.3725,0.3653,0.1842,0.5082,0.8484,0.3819,1,Medium
Grlex1,ENCE,Belgium,69,1863,1036.0,1272,254,43.8,0.56,0.68,0.14,68.1,0.81,5,6,2,0.8145,0.3587,0.3172,0.2,0.4545,0.3707,0.2263,0,Low
dade0,NIP,Turkey,307,7675,6715.0,4153,550,54.8,0.87,0.54,0.07,88.3,1.26,24,29,18,1.6169,0.5119,0.4589,0.0745,0.4528,0.1867,0.7829,2,High
dong9,Vitality,Denmark,426,9372,6378.0,5995,1677,44.6,0.68,0.64,0.18,82.8,1.04,29,32,30,1.0639,0.4332,0.3603,0.2093,0.4754,0.8484,0.4541,2,High
Crelti,TheMongolz,Norway,199,4975,2802.0,3516,540,46.8,0.56,0.71,0.11,63.2,0.84,19,31,2,0.7969,0.3488,0.2933,0.1642,0.38,0.4564,0.2486,0,Low
Clergoo,Cloud9,Estonia,134,3752,2741.0,2670,779,44.8,0.73,0.71,0.21,72.0,1.01,10,11,8,1.0266,0.4196,0.2884,0.2234,0.4762,0.961,0.4223,1,Medium
grace9,Cloud9,Sweden,158,3792,2297.0,2401,480,45.5,0.61,0.63,0.13,75.2,0.97,13,9,8,0.9567,0.3986,0.3668,0.1757,0.5909,0.8852,0.3768,1,Medium
drink0,Fnatic,China,71,1846,1188.0,1289,170,36.0,0.64,0.7,0.09,66.4,0.92,7,12,3,0.9216,0.3858,0.3017,0.1233,0.3684,0.7081,0.2828,0,Low
sholta,TheMongolz,Denmark,324,7776,4826.0,5110,811,41.3,0.62,0.66,0.1,68.1,1.12,28,34,19,0.9444,0.3866,0.3428,0.1389,0.4516,0.5777,0.4253,1,Medium
trven0,Outsiders,Canada,175,4375,3706.0,2239,526,53.4,0.85,0.51,0.12,86.5,1.29,26,7,26,1.6552,0.5364,0.4882,0.1237,0.7879,0.114,0.8163,2,High
frlexie,Fnatic,Ukraine,314,7850,5004.0,5898,1026,44.0,0.64,0.75,0.13,68.2,0.96,32,53,15,0.8484,0.386,0.2487,0.1688,0.3765,0.8484,0.3352,1,Medium
prarnz,TYLOO,Finland,335,8375,6551.0,4201,984,64.5,0.78,0.5,0.12,88.6,1.25,50,29,37,1.5594,0.5151,0.4984,0.1333,0.6329,0.2118,0.8221,2,High
dracezy,Liquid,Netherlands,177,4956,4225.0,3250,329,51.9,0.85,0.66,0.07,82.8,1.11,27,17,32,1.3,0.5199,0.3442,0.0761,0.6136,0.6094,0.6359,2,High
nongzy,SAW,Poland,235,6110,5719.0,3659,627,61.6,0.905,0.6,0.1,81.8,1.11,32,17,27,1.563,0.5264,0.4011,0.0995,0.6531,0.6094,0.7387,2,High
zongix,BIG,United States,108,2268,1347.0,1642,431,37.1,0.59,0.72,0.19,76.1,0.92,14,7,6,0.8203,0.3979,0.276,0.2436,0.6667,0.7081,0.2799,0,Low
yuurih,G2,Finland,186,3906,2577.0,2665,660,54.4,0.66,0.68,0.17,71.3,1.09,14,17,13,0.967,0.4019,0.3177,0.2048,0.4516,0.6746,0.4946,2,High
drarki,Vitality,United States,223,5575,4530.0,3253,628,46.9,0.81,0.58,0.11,95.6,1.23,26,19,20,1.3926,0.5188,0.4165,0.1196,0.5778,0.263,0.6899,2,High
Flace7,BIG,Bosnia,389,9336,6241.0,6466,1386,40.6,0.67,0.69,0.15,64.6,0.79,62,52,2,0.9652,0.4018,0.3074,0.1829,0.5439,0.316,0.2557,0,Low
Trent7,GamerLegion,Australia,361,8664,5345.0,6080,1796,50.8,0.62,0.7,0.21,61.9,1.07,44,21,22,0.8791,0.3794,0.2982,0.253,0.6769,0.7422,0.4326,1,Medium
cropsus,G2,Argentina,71,1846,906.0,1192,269,42.9,0.49,0.65,0.15,72.2,0.91,7,8,0,0.7601,0.351,0.3543,0.2344,0.4667,0.6746,0.2611,0,Low
skarnx,Complexity,Belgium,393,9825,4744.0,6448,1365,39.8,0.48,0.66,0.14,72.5,0.76,37,54,8,0.7357,0.3496,0.3437,0.2258,0.4066,0.2372,0.1571,0,Low
Shong,Vitality,Russia,177,3717,2210.0,2575,283,30.2,0.59,0.69,0.08,62.8,0.88,25,18,3,0.8583,0.3715,0.3072,0.1194,0.5814,0.5777,0.2082,0,Low
Frarny,Complexity,Netherlands,392,9800,5693.0,5825,1702,47.0,0.58,0.59,0.17,61.9,0.98,32,44,27,0.9773,0.3695,0.4056,0.2267,0.4211,0.9227,0.3727,1,Medium
Creller,NIP,Sweden,418,10032,6196.0,6030,2010,47.5,0.62,0.6,0.21,68.3,0.97,48,30,28,1.0275,0.4014,0.3989,0.253,0.6154,0.8852,0.4019,1,Medium
xostzy,FURIA,China,134,3216,2111.0,2279,339,43.2,0.66,0.71,0.11,62.7,0.87,8,18,4,0.9263,0.3718,0.2914,0.1429,0.3077,0.5466,0.2849,0,Low
Grlexoo,MOUZ,Canada,365,9855,6024.0,5684,1692,38.2,0.61,0.58,0.17,64.0,1.0,41,29,10,1.0598,0.3852,0.4232,0.2179,0.5857,1.0,0.362,1,Medium
Nopso,SAW,Czech Republic,346,8304,5065.0,5725,489,52.6,0.61,0.69,0.06,57.8,0.91,49,54,8,0.8847,0.3685,0.3106,0.0896,0.4757,0.6746,0.3478,1,Medium
Stinkix,OG,Australia,93,2232,1167.0,1601,344,53.2,0.52,0.72,0.15,50.9,0.93,8,12,4,0.7289,0.3138,0.2827,0.2239,0.4,0.7422,0.295,0,Low
skush7,ENCE,Latvia,279,5580,4218.0,3553,969,36.2,0.76,0.64,0.17,77.8,0.98,18,21,18,1.1872,0.4454,0.3633,0.1828,0.4615,0.9227,0.4063,1,Medium
Dosta,Fnatic,Turkey,296,7400,4758.0,5548,892,35.9,0.64,0.75,0.12,65.4,0.9,16,57,11,0.8576,0.3669,0.2503,0.1579,0.2192,0.6417,0.2464,0,Low
xark4k,Cloud9,Czech Republic,316,8532,4493.0,5333,956,39.7,0.53,0.63,0.11,65.7,0.93,44,36,17,0.8425,0.3703,0.3749,0.1719,0.55,0.7422,0.2832,0,Low
kionus,Eternal Fire,Czech Republic,384,9216,6975.0,5639,1304,42.4,0.76,0.61,0.14,70.6,0.96,35,35,11,1.2369,0.4353,0.3881,0.1556,0.5,0.8484,0.4301,1,Medium
crazeie,Monte,Estonia,417,8757,6511.0,5376,1251,48.6,0.74,0.61,0.14,66.7,0.95,36,39,14,1.2111,0.421,0.3861,0.1591,0.48,0.8123,0.4431,1,Medium
Snadea,Imperial,Czech Republic,212,4664,3300.0,2273,490,52.1,0.71,0.49000000000000005,0.11,76.7,1.24,33,10,29,1.4518,0.4768,0.5127,0.1341,0.7674,0.2372,0.7031,2,High
Frolta,OG,Russia,61,1342,747.0,923,168,45.1,0.56,0.69,0.13,59.3,0.8,8,8,0,0.8093,0.3504,0.3122,0.1884,0.5,0.3431,0.2209,0,Low
ropz,MIBR,Russia,369,8118,5008.0,5354,1046,45.0,0.62,0.66,0.13,55.0,1.06,15,31,33,0.9354,0.3536,0.3405,0.1733,0.3261,0.7769,0.3868,1,Medium
Glellz,Fnatic,Latvia,342,8550,7325.0,4537,648,51.5,0.86,0.53,0.08,95.9,1.16,44,21,42,1.6145,0.5474,0.4694,0.0851,0.6769,0.4564,0.7359,2,High
Zopsy,Cloud9,Finland,361,9747,5616.0,6552,1660,43.7,0.58,0.67,0.17,75.2,0.89,56,54,8,0.8571,0.3995,0.3278,0.2267,0.5091,0.6094,0.3067,1,Medium
clrix9,Liquid,Poland,268,6164,3928.0,4254,892,45.6,0.64,0.69,0.14,80.3,1.02,18,21,17,0.9234,0.4099,0.3099,0.1795,0.4615,0.9227,0.4071,1,Medium
Skark5s,G2,Ukraine,82,2050,1182.0,1569,174,40.4,0.58,0.77,0.09,62.5,0.81,6,8,6,0.7533,0.3513,0.2346,0.1343,0.4286,0.3707,0.192,0,Low
Koltz,FURIA,Bosnia,160,4160,2856.0,2704,707,45.3,0.69,0.65,0.17,79.3,1.03,12,13,8,1.0562,0.4268,0.35,0.1977,0.48,0.8852,0.4464,1,Medium
dellie,TheMongolz,Finland,106,2332,1510.0,1517,336,44.7,0.65,0.65,0.14,69.8,0.99,10,9,5,0.9954,0.4003,0.3495,0.1772,0.5263,0.961,0.3914,1,Medium
xeltix,Liquid,Canada,203,4872,3061.0,3573,457,38.0,0.63,0.73,0.09,61.4,1.02,28,24,5,0.8567,0.377,0.2666,0.125,0.5385,0.9227,0.3306,1,Medium
trikoer,Cloud9,Norway,185,5180,3359.0,3634,924,35.8,0.65,0.7,0.18,68.7,1.08,18,18,9,0.9243,0.394,0.2985,0.2169,0.5,0.7081,0.3757,1,Medium
Swostix,BIG,Mongolia,150,3600,1676.0,2331,399,50.6,0.47,0.65,0.11,71.7,0.8,24,20,7,0.719,0.3664,0.3525,0.1897,0.5455,0.3431,0.2465,0,Low
Flentx,GamerLegion,Argentina,185,4625,3802.0,2292,301,53.6,0.82,0.5,0.07,93.8,1.31,31,13,21,1.6588,0.5425,0.5044,0.0787,0.7045,0.0674,0.8334,2,High
Shven3r,TheMongolz,Finland,198,4752,3154.0,3354,717,36.5,0.66,0.71,0.15,68.6,0.83,20,37,8,0.9404,0.3955,0.2942,0.1852,0.3509,0.4274,0.2466,0,Low
Nent,TYLOO,Kazakhstan,361,8664,7172.0,5274,719,43.5,0.83,0.61,0.08,86.5,1.27,59,15,42,1.3599,0.5193,0.3913,0.0879,0.7973,0.1621,0.6881,2,High
clioner,Fnatic,Denmark,214,5992,3776.0,4438,732,47.3,0.63,0.74,0.12,72.9,0.89,23,20,12,0.8508,0.3961,0.2593,0.16,0.5349,0.6094,0.3225,1,Medium
Skodoo,MIBR,Bosnia,192,4416,2866.0,3271,331,46.5,0.65,0.74,0.08,72.6,0.75,30,20,1,0.8762,0.406,0.2593,0.1096,0.6,0.2118,0.2532,0,Low
Brunooo,MIBR,Norway,247,5928,3649.0,3991,507,40.0,0.62,0.67,0.09,62.0,0.94,35,32,4,0.9143,0.3809,0.3268,0.1268,0.5224,0.7769,0.3105,1,Medium
frong4k,paiN,Finland,481,12506,9810.625,7825,1118,38.6,0.905,0.63,0.09,95.3,1.3,63,34,39,1.2538,0.544,0.3743,0.0905,0.6495,0.0905,0.6776,2,High
electroNic,Complexity,Brazil,112,3024,1575.0,2064,475,44.7,0.52,0.68,0.16,63.6,0.97,19,22,6,0.7631,0.3656,0.3175,0.2353,0.4634,0.8852,0.3148,1,Medium
Crong4k,FURIA,Latvia,72,1872,1282.0,1312,170,50.3,0.68,0.7,0.09,65.6,0.97,6,13,3,0.9771,0.3923,0.2991,0.1169,0.3158,0.8852,0.4016,1,Medium
brulf4k,Fnatic,Poland,86,2580,1683.0,1814,317,38.8,0.65,0.7,0.12,75.6,0.94,7,6,6,0.9278,0.407,0.2969,0.1558,0.5385,0.7769,0.3253,1,Medium
Brenty,Lynn Vision,Poland,332,7636,6306.0,4008,1158,58.8,0.83,0.52,0.15,78.8,1.13,35,29,42,1.5734,0.4999,0.4751,0.1531,0.5469,0.5466,0.7171,2,High
Stumeie,Navi,Czech Republic,394,9850,8316.0,5075,896,54.8,0.84,0.52,0.09,98.1,1.27,37,34,40,1.6386,0.5349,0.4848,0.0968,0.5211,0.1621,0.8089,2,High
Dreltx,Liquid,Poland,135,3375,2374.0,2357,486,35.8,0.7,0.7,0.14,77.4,1.0,11,12,9,1.0072,0.4252,0.3016,0.1667,0.4783,1.0,0.3691,1,Medium
Glacea,Spirit,Finland,421,11367,7425.0,7254,1983,42.9,0.65,0.64,0.17,60.8,0.94,49,46,10,1.0236,0.3853,0.3618,0.2073,0.5158,0.7769,0.3483,1,Medium
Swops1,GamerLegion,Belgium,81,1782,1290.0,1149,286,41.9,0.72,0.64,0.16,78.2,1.06,9,9,4,1.1227,0.4436,0.3552,0.1818,0.5,0.7769,0.4683,2,High
Shongx,OG,Kazakhstan,109,3052,2623.0,1770,302,64.2,0.86,0.58,0.1,97.3,1.22,15,6,10,1.4819,0.5428,0.4201,0.1042,0.7143,0.2893,0.8107,2,High
drell4k,FURIA,China,298,7450,5518.0,4764,783,64.0,0.74,0.64,0.11,86.1,1.25,32,27,32,1.1583,0.4732,0.3605,0.1294,0.5424,0.2118,0.719,2,High
Shong3r,Liquid,France,139,3475,2522.0,1857,628,55.4,0.73,0.53,0.18,74.4,0.99,13,12,7,1.3581,0.4457,0.4656,0.1978,0.52,0.961,0.5452,2,High
Nantie,paiN,Netherlands,351,8424,7553.0,4266,1075,54.0,0.9,0.51,0.13,88.5,1.34,60,17,36,1.7705,0.5541,0.4936,0.1262,0.7792,0.0,0.8798,2,High
nodoix,TYLOO,Mongolia,446,11150,7350.0,7270,2010,47.2,0.66,0.65,0.19,74.9,1.03,44,35,37,1.011,0.4199,0.348,0.2235,0.557,0.8852,0.4437,1,Medium
Flongz,FaZe,Kazakhstan,371,8533,5533.0,5901,1537,42.2,0.65,0.69,0.18,68.6,0.96,29,43,31,0.9376,0.3953,0.3084,0.2169,0.4028,0.8484,0.3478,1,Medium
Kink7,ENCE,United States,171,3762,2574.0,2391,532,53.7,0.68,0.64,0.14,65.1,0.97,10,17,12,1.0765,0.3953,0.3644,0.1707,0.3704,0.8852,0.4394,1,Medium
Frisk5s,Vitality,Finland,250,6250,3747.0,3808,806,48.9,0.6,0.61,0.13,80.6,0.95,22,17,15,0.984,0.4112,0.3907,0.1781,0.5641,0.8123,0.3981,1,Medium
frink1,OG,Czech Republic,129,2967,1502.0,1909,454,31.6,0.51,0.64,0.15,62.9,0.72,13,18,8,0.7868,0.3493,0.3566,0.2273,0.4194,0.1379,0.0997,0,Low
Tryreer,TheMongolz,France,100,2500,1364.0,1621,181,43.5,0.55,0.65,0.07,68.7,0.8,7,7,3,0.8415,0.3594,0.3516,0.1129,0.5,0.3431,0.2244,0,Low
blikoie,FaZe,Netherlands,374,9724,6870.0,5381,1326,39.0,0.71,0.55,0.14,75.1,1.09,33,26,20,1.2767,0.4383,0.4466,0.1647,0.5593,0.6746,0.492,2,High
zent9,Heroic,France,82,2132,1489.0,1465,280,46.7,0.7,0.69,0.13,74.8,1.01,5,7,3,1.0164,0.4113,0.3129,0.1566,0.4167,0.961,0.4248,1,Medium
Skell5s,paiN,United States,449,10776,7461.0,6762,1537,58.8,0.69,0.63,0.14,72.1,1.03,43,55,38,1.1034,0.4248,0.3725,0.1687,0.4388,0.8852,0.5259,2,High
