player_name,team,country,maps_played,rounds_played,total_kills,total_deaths,total_assists,headshot_percentage,kills_per_round,deaths_per_round,assists_per_round,damage_per_round,rating,opening_kills,opening_deaths,clutch_wins
Tryre0,BIG,China,119,2856,1967,2038,543,37.5,0.69,0.71,0.19,55.0,0.99,7,12,5
glell9,Cloud9,Canada,117,3159,1909,2121,568,40.0,0.6,0.67,0.18,66.6,1.12,11,8,7
nanta,Fnatic,China,135,3510,2080,2350,551,48.4,0.59,0.67,0.16,61.5,0.81,16,16,8
blark4k,Complexity,Finland,405,8100,4542,5046,1118,35.9,0.56,0.62,0.14,71.1,1.01,39,25,19
crelli,G2,Turkey,141,3102,2048,2148,622,43.3,0.66,0.69,0.2,65.0,1.01,12,13,7
Swiskus,GamerLegion,Czech Republic,84,2016,1073,1510,193,41.8,0.53,0.75,0.1,67.1,0.91,9,12,1
xush5s,Lynn Vision,United States,447,11175,7809,6522,2548,44.0,0.7,0.58,0.23,72.3,0.94,39,42,26
frops0,Lynn Vision,Kazakhstan,126,2898,1726,1966,529,53.2,0.6,0.68,0.18,68.5,1.12,8,12,1
drunous,Fnatic,Czech Republic,356,8900,5345,5714,1682,33.7,0.6,0.64,0.19,68.7,0.9,36,32,25
Nadeo,Imperial,China,327,8175,6570,4965,942,59.2,0.8,0.61,0.12,90.0,1.31,57,17,56
Swyrey,Complexity,Czech Republic,198,5148,2702,3461,823,42.6,0.53,0.67,0.16,81.3,1.11,14,11,4
Skyrez,Imperial,Finland,137,3425,1745,2381,368,41.7,0.51,0.7,0.11,77.0,0.84,12,15,3
snushie,Liquid,China,113,2938,1915,1869,487,48.9,0.65,0.64,0.17,65.4,1.08,9,9,3
kinkz,TheMongolz,Germany,112,3248,1676,2292,376,51.0,0.52,0.71,0.12,56.4,0.97,13,11,2
Skrix9,Liquid,Sweden,159,3975,2364,2471,675,50.6,0.59,0.62,0.17,66.7,1.03,4,16,11
blikous,Liquid,Australia,156,4056,2818,2252,196,46.6,0.69,0.56,0.05,89.7,1.26,31,9,16
Skodo9,FURIA,Czech Republic,291,7275,4644,4810,1184,44.9,0.64,0.66,0.16,63.9,0.88,32,25,11
flellz,Spirit,Argentina,390,8190,5092,5589,1039,48.0,0.62,0.68,0.13,69.8,1.03,20,26,10
Crodo7,Imperial,Sweden,221,5304,3057,3462,584,45.9,0.58,0.65,0.11,71.6,0.8,31,22,16
Stadeix,Monte,Netherlands,200,5000,2998,2978,911,41.8,0.6,0.6,0.18,71.6,0.97,16,18,7
stiskoo,MIBR,Netherlands,434,10850,6609,7209,2271,51.7,0.61,0.66,0.21,72.0,0.99,18,48,30
Numei,Vitality,Russia,366,8784,6026,5914,1470,37.5,0.69,0.67,0.17,69.9,0.98,35,33,11
skisker,Lynn Vision,Germany,246,5166,3125,3561,615,45.1,0.61,0.69,0.12,73.4,0.99,25,40,11
Gradezy,SAW,Sweden,157,4553,2722,3317,556,38.9,0.6,0.73,0.12,59.1,0.84,10,16,3
fer,Lynn Vision,Czech Republic,325,9100,6963,5191,619,53.6,0.77,0.57,0.07,88.9,1.32,57,17,20
clonga,FURIA,Sweden,314,8164,4445,6175,1051,43.0,0.54,0.76,0.13,67.2,0.83,39,45,17
crulfus,Imperial,China,136,3128,2564,1916,230,50.1,0.82,0.61,0.07,103.3,1.17,15,15,14
braze9,OG,Germany,267,6408,3182,4429,1127,51.8,0.5,0.69,0.18,67.8,0.9,31,24,4
swion,paiN,Australia,192,4992,3306,2886,896,41.9,0.66,0.58,0.18,63.5,0.95,23,18,7
Kunozy,Apeks,France,151,3926,2084,2707,442,44.3,0.53,0.69,0.11,69.1,0.83,21,22,1
Nops9,G2,Ukraine,117,2574,1997,1533,329,57.5,0.78,0.6,0.13,102.1,1.1,17,11,18
Dumey,Cloud9,Australia,262,6288,4621,3601,518,60.2,0.73,0.57,0.08,99.0,1.29,31,16,19
frenter,SAW,Norway,379,8717,6594,4590,1450,51.1,0.76,0.53,0.17,92.1,1.25,48,40,23
Drarnx,Liquid,Bosnia,427,9821,6579,6662,1662,42.3,0.67,0.68,0.17,74.8,0.98,13,48,30
Zulfz,G2,Poland,368,9936,6763,6862,1254,40.6,0.68,0.69,0.13,62.0,0.86,24,62,16
skadeix,Spirit,Germany,352,7744,3564,5508,951,50.8,0.46,0.71,0.12,67.9,0.93,44,53,4
Nikoix,Imperial,Finland,290,7250,4982,4810,1070,39.5,0.69,0.66,0.15,55.0,0.95,33,40,8
Stark7,G2,Czech Republic,213,5325,2908,3774,771,39.9,0.55,0.71,0.14,64.5,0.92,13,24,11
dryreo,paiN,Mongolia,116,2900,1544,1955,382,41.3,0.53,0.67,0.13,64.5,0.82,17,9,3
Drolt3r,ENCE,Brazil,117,2340,1435,1507,281,28.4,0.61,0.64,0.12,60.0,0.96,13,17,3
Zergie,SAW,Bosnia,331,6620,3839,3952,931,42.5,0.58,0.6,0.14,81.1,1.01,25,25,12
Snost9,SAW,Czech Republic,405,9315,6151,5815,1690,38.4,0.66,0.62,0.18,69.8,1.06,35,31,47
stumeoo,GamerLegion,Russia,96,2208,1266,1482,158,45.6,0.57,0.67,0.07,67.2,0.87,12,13,5
Trrixzy,Outsiders,Poland,278,6672,4409,3643,985,55.0,0.66,0.55,0.15,95.8,1.2,47,11,29
xergzy,Fnatic,Russia,308,6776,3858,4752,1043,46.8,0.57,0.7,0.15,58.9,0.81,36,34,13
troster,NIP,Belgium,265,6095,4043,3859,940,43.8,0.66,0.63,0.15,60.1,0.75,21,34,8
Sninky,paiN,Canada,262,6288,4110,3740,686,49.3,0.65,0.59,0.11,83.3,0.96,21,26,17
Skodoz,Astralis,Argentina,185,5180,2808,3620,579,41.0,0.54,0.7,0.11,72.0,1.01,23,19,5
frongi,Heroic,Germany,263,6575,3422,4707,848,42.5,0.52,0.72,0.13,66.8,0.88,29,27,5
Sninkoo,MIBR,Poland,373,9698,8808,5569,768,51.5,0.91,0.57,0.08,79.7,1.28,39,23,16
Snost5s,ENCE,Argentina,213,5112,4270,2645,525,51.0,0.84,0.52,0.1,95.6,1.23,26,22,24
derg4k,Navi,Finland,121,2904,1529,2358,377,34.1,0.53,0.81,0.13,55.4,0.99,13,10,7
trergo,paiN,Canada,151,3775,3077,1855,404,51.1,0.82,0.49,0.11,84.8,1.1,17,14,17
stushus,Apeks,Bosnia,263,6049,4070,3753,552,59.5,0.67,0.62,0.09,96.5,1.3,25,24,21
shant4k,FURIA,Poland,60,1380,716,881,269,50.1,0.52,0.64,0.19,65.0,0.8,5,5,3
Skume9,Outsiders,Argentina,354,8850,4680,6459,1134,43.9,0.53,0.73,0.13,68.7,0.89,64,35,12
Claze0,Imperial,China,189,4536,2762,3399,561,38.7,0.61,0.75,0.12,59.5,0.88,20,17,10
Drrixy,Virtus.pro,Brazil,126,3150,1837,2334,288,36.4,0.58,0.74,0.09,74.6,0.89,10,24,4
blergi,OG,Poland,154,3696,2319,2314,561,44.8,0.63,0.63,0.15,70.8,0.91,8,14,10
Creltzy,Fnatic,France,392,9800,7639,5998,1247,55.0,0.78,0.61,0.13,89.5,1.29,52,30,31
Grant9,Cloud9,Germany,488,11712,10288,7004,1175,54.5,0.88,0.6,0.1,82.4,1.31,66,39,47
Glentus,MIBR,France,161,3864,2261,2464,488,39.9,0.59,0.64,0.13,73.4,0.87,18,17,1
Trumey,Vitality,Ukraine,187,5049,3343,3814,428,31.3,0.66,0.76,0.08,69.1,0.87,18,29,9
Flosta,BIG,Sweden,427,9394,6588,5886,1535,53.6,0.7,0.63,0.16,69.9,0.93,32,31,31
crunozy,OG,Sweden,418,10450,6657,6514,2315,52.4,0.64,0.62,0.22,78.5,1.03,26,29,35
swonger,OG,Australia,232,5568,4489,3225,453,52.2,0.81,0.58,0.08,92.4,1.19,21,23,19
Friskix,Imperial,Germany,188,4700,3061,3418,720,45.9,0.65,0.73,0.15,70.6,0.93,24,28,5
flvenzy,BIG,Ukraine,105,2520,1609,1724,352,43.3,0.64,0.68,0.14,55.9,1.02,8,16,6
glade7,paiN,Denmark,307,7982,4493,4978,1656,32.0,0.56,0.62,0.21,74.2,1.03,30,30,19
Skink4k,Liquid,Mongolia,140,3220,2100,2190,250,43.6,0.65,0.68,0.08,67.1,0.98,22,15,7
Drell9,Liquid,Poland,97,2328,1489,1518,467,47.1,0.64,0.65,0.2,65.8,1.11,6,10,7
Zrixx,Monte,Canada,319,8294,5514,5625,736,46.1,0.66,0.68,0.09,60.4,0.94,47,44,10
Kops9,TYLOO,Latvia,381,8763,4858,5760,1931,43.5,0.55,0.66,0.22,71.6,1.03,23,37,15
snvener,Heroic,Bosnia,280,8400,5789,5218,1056,63.1,0.69,0.62,0.13,89.1,1.22,45,24,35
Grarkx,TYLOO,Czech Republic,154,3542,2266,2413,598,47.8,0.64,0.68,0.17,66.9,1.05,11,19,9
Shost0,Cloud9,Mongolia,181,4706,2555,3376,428,39.7,0.54,0.72,0.09,60.0,0.98,18,17,8
gradeie,Lynn Vision,Mongolia,100,2600,1371,1613,391,45.4,0.53,0.62,0.15,60.4,0.75,14,18,4
blulf9,paiN,China,430,9890,6670,6393,873,54.7,0.67,0.65,0.09,73.2,1.01,29,27,27
frulf1,Fnatic,Turkey,104,2496,1682,1704,444,49.4,0.67,0.68,0.18,62.8,1.02,6,8,6
Blarner,TYLOO,Canada,337,8425,4687,5809,1162,49.5,0.56,0.69,0.14,75.8,1.02,30,31,18
Stolt4k,Fnatic,Sweden,265,6360,4337,4568,1177,41.0,0.68,0.72,0.19,64.1,0.78,30,44,0
Shosti,MOUZ,Turkey,261,5481,3492,3795,502,40.2,0.64,0.69,0.09,69.0,0.92,28,36,12
Kergy,Heroic,Ukraine,96,2496,1589,1783,278,40.6,0.64,0.71,0.11,66.8,0.86,10,19,3
Klex9,Cloud9,Germany,60,1320,780,945,159,45.3,0.59,0.72,0.12,69.5,0.86,7,7,2
Fraceie,Complexity,Belgium,127,2921,2227,1597,240,58.5,0.76,0.55,0.08,96.6,1.13,22,15,7
Brrixix,Navi,Australia,119,2737,1756,1988,325,45.5,0.64,0.73,0.12,62.5,0.97,16,12,4
crerg0,TYLOO,Czech Republic,233,5592,4254,2980,435,51.7,0.76,0.53,0.08,105.7,1.28,28,25,21
Xink4k,FaZe,Ukraine,458,10076,7678,5946,1474,59.9,0.76,0.59,0.15,96.6,1.13,66,25,42
Flulfo,NIP,Belgium,395,9480,7143,6310,1382,51.4,0.75,0.67,0.15,71.2,1.01,37,39,16
Xion9,NIP,Sweden,269,6187,4138,3768,889,45.4,0.67,0.61,0.14,76.7,0.95,17,16,13
shenti,ENCE,United States,173,4844,2657,3390,682,39.8,0.55,0.7,0.14,57.3,0.98,23,25,5
cladez,Vitality,Mongolia,138,3864,2407,2332,607,46.3,0.62,0.6,0.16,63.8,0.99,11,10,5
prionix,ENCE,Estonia,319,8294,4465,5543,1095,45.3,0.54,0.67,0.13,59.3,0.82,37,27,22
trink1,Lynn Vision,China,94,2444,1559,1516,424,43.5,0.64,0.62,0.17,80.1,0.89,6,8,5
brarno,paiN,Australia,183,4758,2927,3063,960,48.3,0.62,0.64,0.2,72.1,0.93,15,20,12
Drisk3r,G2,Brazil,265,7420,4835,4849,944,46.0,0.65,0.65,0.13,67.9,0.92,21,30,14
clarky,Lynn Vision,Estonia,345,8625,4516,5289,1322,45.4,0.52,0.61,0.15,65.8,0.95,46,43,21
drvenz,Spirit,Denmark,259,5957,4248,3951,751,45.8,0.71,0.66,0.13,69.1,1.01,13,27,14
frven5s,FURIA,Australia,348,6960,6839,3751,762,52.6,0.98,0.54,0.11,92.3,1.33,37,23,24
glanto,MIBR,Mongolia,113,2599,1505,1973,291,45.9,0.58,0.76,0.11,61.9,0.98,5,16,4
Prush9,paiN,Denmark,226,5198,4531,2740,618,50.6,0.87,0.53,0.12,99.8,1.24,25,20,13
Drionz,Apeks,Finland,278,7506,6539,4296,624,51.0,0.87,0.57,0.08,93.5,1.24,26,33,25
swops3r,Apeks,United States,331,7944,4685,5458,1749,44.2,0.59,0.69,0.22,78.3,0.95,24,29,17
Shveny,Imperial,Argentina,219,5256,2656,3650,420,36.2,0.51,0.69,0.08,67.1,0.93,23,22,3
propser,FaZe,Sweden,204,4488,2434,3331,296,41.5,0.54,0.74,0.07,76.1,0.91,23,14,11
Stlex0,Vitality,Bosnia,245,5145,3732,2864,648,60.9,0.73,0.56,0.13,87.1,1.2,37,16,28
flikox,Outsiders,Estonia,215,5375,2743,4047,691,36.3,0.51,0.75,0.13,60.4,0.89,32,28,10
briskzy,Eternal Fire,Bosnia,367,10276,6712,6956,1334,46.6,0.65,0.68,0.13,75.9,1.05,26,26,22
drrixa,OG,Ukraine,255,6375,4232,4065,952,44.8,0.66,0.64,0.15,77.7,0.99,25,23,14
trven4k,Astralis,Ukraine,372,8556,4846,5514,1545,50.9,0.57,0.64,0.18,67.2,0.97,18,52,6
starker,paiN,Mongolia,313,7825,6569,4312,561,64.6,0.84,0.55,0.07,85.8,1.28,46,14,32
Clostz,BIG,Ukraine,278,7506,4568,5311,1367,37.4,0.61,0.71,0.18,59.0,0.89,23,40,11
zlex9,Liquid,Netherlands,281,6463,3727,4621,719,39.2,0.58,0.72,0.11,78.7,0.94,30,41,4
Swazeer,MIBR,Turkey,329,6580,4785,4314,1071,37.2,0.73,0.66,0.16,79.7,1.07,26,25,17
Drace,Complexity,Russia,284,7668,5409,4363,696,58.5,0.71,0.57,0.09,86.3,1.36,45,27,30
kantzy,ENCE,Finland,175,4025,2485,2535,600,54.7,0.62,0.63,0.15,75.6,0.99,8,16,13
skent9,Spirit,Poland,173,3979,2147,2734,421,38.8,0.54,0.69,0.11,60.1,0.89,18,34,7
grellix,Spirit,France,80,2000,1266,1511,194,38.8,0.63,0.76,0.1,56.8,0.79,9,12,2
Grong5s,Outsiders,Latvia,288,6336,4819,3062,354,48.5,0.76,0.48,0.06,86.1,1.17,29,26,32
Frumeix,FURIA,Germany,212,5088,3207,3217,650,40.8,0.63,0.63,0.13,71.6,1.02,10,17,16
Swazeus,paiN,Germany,79,1896,1042,1243,226,42.5,0.55,0.66,0.12,72.8,0.84,7,11,1
Drell0,G2,United States,324,6480,3824,3974,451,49.8,0.59,0.61,0.07,75.5,0.98,35,23,18
nuno1,Cloud9,Russia,180,4140,2786,2630,528,31.8,0.67,0.64,0.13,63.9,0.88,30,17,8
zioner,FURIA,Australia,247,5681,4102,3761,930,43.6,0.72,0.66,0.16,76.6,1.04,18,21,7
shunox,GamerLegion,Poland,89,2403,1613,1627,372,45.1,0.67,0.68,0.16,70.6,1.05,8,7,7
Dvenzy,Outsiders,Estonia,248,6200,4492,3431,522,56.7,0.72,0.55,0.08,85.4,1.28,35,22,22
nops3r,Navi,Estonia,363,9075,5334,6043,1339,36.6,0.59,0.67,0.15,65.2,1.01,33,24,21
flameZ,Apeks,Czech Republic,483,9660,8809,4933,1079,63.9,0.91,0.51,0.11,74.3,1.19,47,38,52
Zoltzy,Liquid,Bosnia,135,3510,2613,2234,725,39.1,0.74,0.64,0.21,71.0,1.0,4,9,7
Snostie,Complexity,Kazakhstan,117,2925,2048,1933,653,56.4,0.7,0.66,0.22,72.2,1.11,13,10,4
Flanty,Cloud9,United States,376,8272,4521,5646,1105,42.5,0.55,0.68,0.13,64.4,0.78,62,57,23
snacea,Outsiders,Australia,345,8970,6556,5474,954,48.9,0.73,0.61,0.11,91.9,1.36,60,30,27
Grenty,FURIA,Norway,373,8952,6057,5343,1440,43.7,0.68,0.6,0.16,71.0,1.0,30,32,20
snella,Navi,Finland,278,5838,5065,3356,631,50.3,0.87,0.57,0.11,86.9,1.25,41,19,22
Nionoo,GamerLegion,Belgium,110,2640,1691,2089,332,46.4,0.64,0.79,0.13,73.4,0.83,14,13,4
Triskus,Vitality,Mongolia,217,4774,2755,3301,602,41.9,0.58,0.69,0.13,63.6,0.81,10,25,13
snaze4k,Imperial,Turkey,248,5704,5064,3439,745,46.4,0.89,0.6,0.13,86.6,1.22,35,12,37
prink,MOUZ,Ukraine,111,2664,1682,1851,359,47.3,0.63,0.7,0.13,65.1,0.93,15,15,0
nella,G2,Bosnia,299,7475,5112,5900,949,32.9,0.68,0.79,0.13,63.7,0.9,47,31,11
Skiko5s,paiN,Estonia,163,4564,2602,3027,628,35.4,0.57,0.66,0.14,67.4,0.98,25,16,6
diska,TYLOO,Turkey,331,7944,5353,4865,1022,47.3,0.67,0.61,0.13,73.8,0.99,30,29,22
Xeltus,Fnatic,Australia,214,5136,2706,3409,685,45.3,0.53,0.66,0.13,59.9,0.82,14,32,0
Krixus,OG,Ukraine,370,7770,4353,5847,822,45.6,0.56,0.75,0.11,67.4,0.82,18,54,18
flent1,MOUZ,Germany,288,7488,4568,4928,1397,37.5,0.61,0.66,0.19,64.8,0.93,33,38,6
boltz,Apeks,Latvia,268,6700,4321,5083,552,53.4,0.65,0.76,0.08,66.4,0.92,30,32,11
sheltus,SAW,Czech Republic,132,3036,1956,1961,454,48.1,0.64,0.65,0.15,62.0,1.03,15,8,10
bryreoo,GamerLegion,Poland,224,5824,3729,3678,691,49.3,0.64,0.63,0.12,71.6,1.0,7,23,12
dume3r,paiN,Mongolia,260,7540,4553,5931,1059,39.3,0.6,0.79,0.14,58.3,0.86,23,40,14
Gluno4k,OG,Denmark,224,5376,2935,3865,572,41.3,0.55,0.72,0.11,63.1,0.87,16,33,3
Kyre4k,BIG,Mongolia,412,11536,7475,6525,1803,50.5,0.65,0.57,0.16,82.5,1.05,24,39,33
xionoo,paiN,Latvia,410,10660,7766,7350,1537,35.9,0.73,0.69,0.14,63.7,0.97,38,44,33
Skant9,Spirit,Brazil,332,7636,3763,5173,572,51.5,0.49,0.68,0.07,62.6,0.94,33,43,23
Skarny,Fnatic,Argentina,356,9612,7167,5882,1369,44.0,0.75,0.61,0.14,73.0,1.03,32,28,18
Gllex0,Navi,Argentina,196,5880,3739,4115,688,53.2,0.64,0.7,0.12,83.9,0.79,39,24,14
shox,TYLOO,Ukraine,327,8502,5245,5820,995,36.9,0.62,0.68,0.12,74.3,0.93,21,51,13
frisk4k,MOUZ,China,174,4872,2711,3520,431,43.1,0.56,0.72,0.09,64.1,0.95,29,22,4
Shink5s,Liquid,United States,283,7075,4543,4397,1384,49.5,0.64,0.62,0.2,68.1,0.94,24,21,15
nikous,TheMongolz,China,350,9100,5602,6417,1656,50.2,0.62,0.71,0.18,62.7,0.88,31,35,12
Groltie,Lynn Vision,Sweden,424,11872,8873,7543,1729,32.0,0.75,0.64,0.15,79.4,0.98,26,40,26
xumezy,FURIA,Kazakhstan,109,3052,1936,1989,341,35.3,0.63,0.65,0.11,69.5,1.05,6,10,6
stant3r,Apeks,Finland,101,2323,1319,1746,348,42.0,0.57,0.75,0.15,63.3,0.9,10,6,5
Stazex,MOUZ,France,233,6058,3953,4537,858,46.4,0.65,0.75,0.14,69.5,0.87,30,37,7
flinko,Outsiders,Belgium,168,3864,3159,1901,176,55.8,0.82,0.49,0.05,83.8,1.28,31,19,20
Glulf,NIP,Germany,324,8424,5449,5456,1177,49.2,0.65,0.65,0.14,68.5,1.0,34,32,16
stazeie,Fnatic,Australia,298,6556,4140,4319,768,43.7,0.63,0.66,0.12,73.5,1.12,27,31,9
swvenus,FURIA,Netherlands,156,3588,2947,1764,309,58.3,0.82,0.49,0.09,81.1,1.22,26,11,25
Prushz,Cloud9,France,128,3072,2132,1988,525,45.9,0.69,0.65,0.17,72.6,0.97,13,8,7
Drodo9,BIG,Latvia,181,3982,2388,2621,660,60.5,0.6,0.66,0.17,75.3,0.98,15,14,12
Blush5s,Navi,Sweden,155,3875,2357,2341,732,50.4,0.61,0.6,0.19,77.0,1.04,15,11,5
Nyreoo,Spirit,Latvia,335,7035,4366,4465,959,42.2,0.62,0.63,0.14,59.8,1.04,31,30,15
Grlex1,ENCE,Belgium,69,1863,1036,1272,254,43.8,0.56,0.68,0.14,68.1,0.81,5,6,2
dade0,NIP,Turkey,307,7675,6715,4153,550,54.8,0.87,0.54,0.07,88.3,1.26,24,29,18
dong9,Vitality,Denmark,426,9372,6378,5995,1677,44.6,0.68,0.64,0.18,82.8,1.04,29,32,30
Crelti,TheMongolz,Norway,199,4975,2802,3516,540,46.8,0.56,0.71,0.11,63.2,0.84,19,31,2
Clergoo,Cloud9,Estonia,134,3752,2741,2670,779,44.8,0.73,0.71,0.21,72.0,1.01,10,11,8
grace9,Cloud9,Sweden,158,3792,2297,2401,480,45.5,0.61,0.63,0.13,75.2,0.97,13,9,8
drink0,Fnatic,China,71,1846,1188,1289,170,36.0,0.64,0.7,0.09,66.4,0.92,7,12,3
sholta,TheMongolz,Denmark,324,7776,4826,5110,811,41.3,0.62,0.66,0.1,68.1,1.12,28,34,19
trven0,Outsiders,Canada,175,4375,3706,2239,526,53.4,0.85,0.51,0.12,86.5,1.29,26,7,26
frlexie,Fnatic,Ukraine,314,7850,5004,5898,1026,44.0,0.64,0.75,0.13,68.2,0.96,32,53,15
prarnz,TYLOO,Finland,335,8375,6551,4201,984,64.5,0.78,0.5,0.12,88.6,1.25,50,29,37
dracezy,Liquid,Netherlands,177,4956,4225,3250,329,51.9,0.85,0.66,0.07,82.8,1.11,27,17,32
nongzy,SAW,Poland,235,6110,5719,3659,627,61.6,0.94,0.6,0.1,81.8,1.11,32,17,27
zongix,BIG,United States,108,2268,1347,1642,431,37.1,0.59,0.72,0.19,76.1,0.92,14,7,6
yuurih,G2,Finland,186,3906,2577,2665,660,54.4,0.66,0.68,0.17,71.3,1.09,14,17,13
drarki,Vitality,United States,223,5575,4530,3253,628,46.9,0.81,0.58,0.11,95.6,1.23,26,19,20
Flace7,BIG,Bosnia,389,9336,6241,6466,1386,40.6,0.67,0.69,0.15,64.6,0.79,62,52,2
Trent7,GamerLegion,Australia,361,8664,5345,6080,1796,50.8,0.62,0.7,0.21,61.9,1.07,44,21,22
cropsus,G2,Argentina,71,1846,906,1192,269,42.9,0.49,0.65,0.15,72.2,0.91,7,8,0
skarnx,Complexity,Belgium,393,9825,4744,6448,1365,39.8,0.48,0.66,0.14,72.5,0.76,37,54,8
Shong,Vitality,Russia,177,3717,2210,2575,283,30.2,0.59,0.69,0.08,62.8,0.88,25,18,3
Frarny,Complexity,Netherlands,392,9800,5693,5825,1702,47.0,0.58,0.59,0.17,61.9,0.98,32,44,27
Creller,NIP,Sweden,418,10032,6196,6030,2076,47.5,0.62,0.6,0.21,68.3,0.97,48,30,28
xostzy,FURIA,China,134,3216,2111,2279,339,43.2,0.66,0.71,0.11,62.7,0.87,8,18,4
Grlexoo,MOUZ,Canada,365,9855,6024,5684,1692,38.2,0.61,0.58,0.17,64.0,1.0,41,29,10
Nopso,SAW,Czech Republic,346,8304,5065,5725,489,52.6,0.61,0.69,0.06,57.8,0.91,49,54,8
Stinkix,OG,Australia,93,2232,1167,1601,344,53.2,0.52,0.72,0.15,50.9,0.93,8,12,4
skush7,ENCE,Latvia,279,5580,4218,3553,969,36.2,0.76,0.64,0.17,77.8,0.98,18,21,18
Dosta,Fnatic,Turkey,296,7400,4758,5548,892,35.9,0.64,0.75,0.12,65.4,0.9,16,57,11
xark4k,Cloud9,Czech Republic,316,8532,4493,5333,956,39.7,0.53,0.63,0.11,65.7,0.93,44,36,17
kionus,Eternal Fire,Czech Republic,384,9216,6975,5639,1304,42.4,0.76,0.61,0.14,70.6,0.96,35,35,11
crazeie,Monte,Estonia,417,8757,6511,5376,1251,48.6,0.74,0.61,0.14,66.7,0.95,36,39,14
Snadea,Imperial,Czech Republic,212,4664,3300,2273,490,52.1,0.71,0.49,0.11,76.7,1.24,33,10,29
Frolta,OG,Russia,61,1342,747,923,168,45.1,0.56,0.69,0.13,59.3,0.8,8,8,0
ropz,MIBR,Russia,369,8118,5008,5354,1046,45.0,0.62,0.66,0.13,55.0,1.06,15,31,33
Glellz,Fnatic,Latvia,342,8550,7325,4537,648,51.5,0.86,0.53,0.08,95.9,1.16,44,21,46
Zopsy,Cloud9,Finland,361,9747,5616,6552,1660,43.7,0.58,0.67,0.17,75.2,0.89,56,54,8
clrix9,Liquid,Poland,268,6164,3928,4254,892,45.6,0.64,0.69,0.14,80.3,1.02,18,21,17
Skark5s,G2,Ukraine,82,2050,1182,1569,174,40.4,0.58,0.77,0.09,62.5,0.81,6,8,6
Koltz,FURIA,Bosnia,160,4160,2856,2704,707,45.3,0.69,0.65,0.17,79.3,1.03,12,13,8
dellie,TheMongolz,Finland,106,2332,1510,1517,336,44.7,0.65,0.65,0.14,69.8,0.99,10,9,5
xeltix,Liquid,Canada,203,4872,3061,3573,457,38.0,0.63,0.73,0.09,61.4,1.02,28,24,5
trikoer,Cloud9,Norway,185,5180,3359,3634,924,35.8,0.65,0.7,0.18,68.7,1.08,18,18,9
Swostix,BIG,Mongolia,150,3600,1676,2331,399,50.6,0.47,0.65,0.11,71.7,0.8,24,20,7
Flentx,GamerLegion,Argentina,185,4625,3802,2292,301,53.6,0.82,0.5,0.07,93.8,1.31,31,13,21
Shven3r,TheMongolz,Finland,198,4752,3154,3354,717,36.5,0.66,0.71,0.15,68.6,0.83,20,37,8
Nent,TYLOO,Kazakhstan,361,8664,7172,5274,719,43.5,0.83,0.61,0.08,86.5,1.27,59,15,45
clioner,Fnatic,Denmark,214,5992,3776,4438,732,47.3,0.63,0.74,0.12,72.9,0.89,23,20,12
Skodoo,MIBR,Bosnia,192,4416,2866,3271,331,46.5,0.65,0.74,0.08,72.6,0.75,30,20,1
Brunooo,MIBR,Norway,247,5928,3649,3991,507,40.0,0.62,0.67,0.09,62.0,0.94,35,32,4
frong4k,paiN,Finland,481,12506,11650,7825,1118,38.6,0.93,0.63,0.09,95.3,1.3,63,34,39
electroNic,Complexity,Brazil,112,3024,1575,2064,475,44.7,0.52,0.68,0.16,63.6,0.97,19,22,6
Crong4k,FURIA,Latvia,72,1872,1282,1312,170,50.3,0.68,0.7,0.09,65.6,0.97,6,13,3
brulf4k,Fnatic,Poland,86,2580,1683,1814,317,38.8,0.65,0.7,0.12,75.6,0.94,7,6,6
Brenty,Lynn Vision,Poland,332,7636,6306,4008,1158,58.8,0.83,0.52,0.15,78.8,1.13,35,29,43
Stumeie,Navi,Czech Republic,394,9850,8316,5075,896,54.8,0.84,0.52,0.09,98.3,1.27,37,34,40
Dreltx,Liquid,Poland,135,3375,2374,2357,486,35.8,0.7,0.7,0.14,77.4,1.0,11,12,9
Glacea,Spirit,Finland,421,11367,7425,7254,1983,42.9,0.65,0.64,0.17,60.8,0.94,49,46,10
Swops1,GamerLegion,Belgium,81,1782,1290,1149,286,41.9,0.72,0.64,0.16,78.2,1.06,9,9,4
Shongx,OG,Kazakhstan,109,3052,2623,1770,302,64.2,0.86,0.58,0.1,97.3,1.22,15,6,10
drell4k,FURIA,China,298,7450,5518,4764,783,64.0,0.74,0.64,0.11,86.1,1.25,32,27,32
Shong3r,Liquid,France,139,3475,2522,1857,628,55.4,0.73,0.53,0.18,74.4,0.99,13,12,7
Nantie,paiN,Netherlands,351,8424,7553,4266,1075,54.0,0.9,0.51,0.13,88.5,1.4,60,17,36
nodoix,TYLOO,Mongolia,446,11150,7350,7270,2094,47.2,0.66,0.65,0.19,74.9,1.03,44,35,37
Flongz,FaZe,Kazakhstan,371,8533,5533,5901,1537,42.2,0.65,0.69,0.18,68.6,0.96,29,43,31
Kink7,ENCE,United States,171,3762,2574,2391,532,53.7,0.68,0.64,0.14,65.1,0.97,10,17,12
Frisk5s,Vitality,Finland,250,6250,3747,3808,806,48.9,0.6,0.61,0.13,80.6,0.95,22,17,15
frink1,OG,Czech Republic,129,2967,1502,1909,454,31.6,0.51,0.64,0.15,62.9,0.72,13,18,8
Tryreer,TheMongolz,France,100,2500,1364,1621,181,43.5,0.55,0.65,0.07,68.7,0.8,7,7,3
